id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0zMTE0NzQ1,3114745,Thrupthy,Krishnan,5.0,4,100.0,4.0,Accounting
VGVhY2hlci0yOTU3Nzkz,2957793,Abdul,Khizer,1.3,4,0.0,4.0,Accounting
VGVhY2hlci0zMDY1NTYz,3065563,Divyesh,Shah,5.0,6,100.0,2.8,Accounting
VGVhY2hlci0yOTc5Mzcy,2979372,Hadi,Ahmad,5.0,2,100.0,2.5,Accounting
VGVhY2hlci0yMzkxODMy,2391832,Nayana,Reiter,3.8,5,80.0,2.4,Accounting
VGVhY2hlci0xODY4MDE0,1868014,Vince,Pranjivan,3.2,8,100.0,3.3,Accounting
VGVhY2hlci0yMDQ2MTkz,2046193,Cara,Orzech,2.5,1,-1.0,4.0,Accounting
VGVhY2hlci0zMTA2NjY4,3106668,Stuart,Stuart Campbell,0.0,0,-1.0,0.0,Accounting
VGVhY2hlci0yOTk1NTk0,2995594,Andreas,Chariot,0.0,0,-1.0,0.0,Accounting
VGVhY2hlci0yOTc4Nzc5,2978779,Zifan,Wang,0.0,0,-1.0,0.0,Accounting
VGVhY2hlci0yMTA1NDMy,2105432,Valerie,Lennox,0.0,0,-1.0,0.0,Accounting
VGVhY2hlci0zMTA3Nzg5,3107789,Scott,Douglas,0.0,0,-1.0,0.0,Accounting
VGVhY2hlci0zMDM3MDI1,3037025,Swetaprovo,Chaudhuri,4.3,3,100.0,3.7,Aerospace Studies
VGVhY2hlci0yMzQ0MzI2,2344326,Chris,Damaren,5.0,1,100.0,3.0,Aerospace Studies
VGVhY2hlci0yNDE1MDU2,2415056,Behrad,Vatankhahghadim,0.0,0,-1.0,0.0,Aerospace Studies
VGVhY2hlci0zMTMwNDI0,3130424,James,Quizzo,0.0,0,-1.0,0.0,Agriculture
VGVhY2hlci0yOTMwMDA1,2930005,Robert,Mason,3.2,5,60.0,3.6,Anthropology
VGVhY2hlci0yODQ3ODY3,2847867,Omer,Ozcan,3.5,13,69.2308,2.9,Anthropology
VGVhY2hlci0zMTUxMzc3,3151377,Shawn ,Lehman ,5.0,1,100.0,3.0,Anthropology
VGVhY2hlci0yOTAxNTU1,2901555,Shirley,Yeung,4.2,6,66.6667,2.8,Anthropology
VGVhY2hlci0yODQ3ODcx,2847871,Anisha,Chadha,4.3,6,83.3333,3.0,Anthropology
VGVhY2hlci0zMDE5OTgx,3019981,Saul,Cohen,2.3,6,33.3333,4.3,Anthropology
VGVhY2hlci0yMzAzMTIy,2303122,Bence,Viola,4.2,9,77.7778,3.2,Anthropology
VGVhY2hlci0yOTE1MTc3,2915177,Maya,El Helou,5.0,1,100.0,1.0,Anthropology
VGVhY2hlci0yMzU4MTU4,2358158,Cathie,Sutton,2.0,2,0.0,4.5,Anthropology
VGVhY2hlci0yODIwODEx,2820811,Malcolm,Ramsay,2.0,1,0.0,2.0,Anthropology
VGVhY2hlci0yOTUxNTg5,2951589,Michelle ,Cameron,5.0,1,100.0,1.0,Anthropology
VGVhY2hlci0yODY2MzM2,2866336,Esmat,Elhalaby,5.0,1,100.0,2.0,Anthropology
VGVhY2hlci0yMTA0Njgw,2104680,Laura,Sikstrom,2.9,5,50.0,3.6,Anthropology
VGVhY2hlci0yNTU5OTU3,2559957,Keegan,Selig,3.0,5,60.0,2.4,Anthropology
VGVhY2hlci0yMjQ0NzIz,2244723,Janice,Boddy,3.0,1,100.0,2.0,Anthropology
VGVhY2hlci0yMzAzMDk4,2303098,Jessika,Tremblay,5.0,1,100.0,3.0,Anthropology
VGVhY2hlci0yMTc0NTYy,2174562,Julia,Gamble,4.0,1,100.0,4.0,Anthropology
VGVhY2hlci0yNjg2NzYy,2686762,Greg,Braun,0.0,0,-1.0,0.0,Anthropology
VGVhY2hlci0zMTA4Mzk0,3108394,Michael,Obie,0.0,0,-1.0,0.0,Anthropology
VGVhY2hlci0yODkyNjYx,2892661,William,Boily,0.0,0,-1.0,0.0,Anthropology
VGVhY2hlci0zMTA5NTM1,3109535,Kayla,Akler,0.0,0,-1.0,0.0,Anthropology
VGVhY2hlci0zMDcwMDg2,3070086,nkem,ike,0.0,0,-1.0,0.0,Anthropology
VGVhY2hlci0yOTIwNDA5,2920409,Paul,Harrison,3.1,8,50.0,2.8,Architecture
VGVhY2hlci0yOTUwNTUy,2950552,Hadi ,El-Shayeb,4.0,11,72.7273,2.6,Architecture
VGVhY2hlci0yNjI3MDEx,2627011,Stephen,Verderber,2.1,10,30.0,3.8,Architecture
VGVhY2hlci0zMDc3MDE0,3077014,Eric,Nay,2.7,7,42.8571,3.4,Architecture
VGVhY2hlci0yODczNjg0,2873684,Phat,Le,5.0,8,100.0,2.1,Architecture
VGVhY2hlci0yMTM5OTQ4,2139948,Michael,Piper,2.6,9,44.4444,2.7,Architecture
VGVhY2hlci0zMDY5MjIy,3069222,Negin,Minaei,2.1,13,23.0769,3.9,Architecture
VGVhY2hlci0yOTgwMDY1,2980065,Erica,Kim,2.0,7,14.2857,2.6,Architecture
VGVhY2hlci0yODU1Mjkx,2855291,Luis,Jacobs,1.0,6,0.0,2.7,Architecture
VGVhY2hlci0zMDIyMTE3,3022117,Rim,Fathallah,5.0,1,100.0,3.0,Architecture
VGVhY2hlci0yOTkxMzQ2,2991346,Daniel,Chung,2.0,1,0.0,3.0,Architecture
VGVhY2hlci0yNTY0NTE0,2564514,Vivian,Lee,3.5,2,50.0,3.0,Architecture
VGVhY2hlci0yOTc4OTg1,2978985,Margot,Lystra,1.0,1,0.0,4.0,Architecture
VGVhY2hlci0yODY1MjY2,2865266,Ayca ,Koseoglu,4.0,1,100.0,3.0,Architecture
